AQI,City,Date
94.4,Bengaluru,2015-01-01
89.0,Bengaluru,2015-01-02
93.0,Bengaluru,2015-01-03
97.4,Bengaluru,2015-01-04
103.2,Bengaluru,2015-01-05
101.4,Bengaluru,2015-01-06
104.2,Bengaluru,2015-01-07
103.6,Bengaluru,2015-01-08
107.4,Bengaluru,2015-01-09
117.4,Bengaluru,2015-01-10
106.8,Bengaluru,2015-01-11
111.6,Bengaluru,2015-01-12
113.8,Bengaluru,2015-01-13
116.0,Bengaluru,2015-01-14
101.6,Bengaluru,2015-01-15
103.0,Bengaluru,2015-01-16
134.4,Bengaluru,2015-01-17
134.8,Bengaluru,2015-01-18
105.0,Bengaluru,2015-01-19
112.8,Bengaluru,2015-01-20
101.8,Bengaluru,2015-01-21
107.8,Bengaluru,2015-01-22
119.4,Bengaluru,2015-01-23
108.8,Bengaluru,2015-01-24
115.2,Bengaluru,2015-01-25
116.6,Bengaluru,2015-01-26
113.6,Bengaluru,2015-01-27
127.6,Bengaluru,2015-01-28
136.2,Bengaluru,2015-01-29
139.4,Bengaluru,2015-01-30
126.4,Bengaluru,2015-01-31
118.0,Bengaluru,2015-02-01
113.2,Bengaluru,2015-02-02
125.6,Bengaluru,2015-02-03
132.2,Bengaluru,2015-02-04
133.4,Bengaluru,2015-02-05
145.6,Bengaluru,2015-02-06
151.6,Bengaluru,2015-02-07
136.0,Bengaluru,2015-02-08
114.8,Bengaluru,2015-02-09
113.2,Bengaluru,2015-02-10
111.0,Bengaluru,2015-02-11
94.4,Bengaluru,2015-02-12
95.4,Bengaluru,2015-02-13
95.6,Bengaluru,2015-02-14
98.4,Bengaluru,2015-02-15
93.6,Bengaluru,2015-02-16
99.8,Bengaluru,2015-02-17
101.8,Bengaluru,2015-02-18
101.6,Bengaluru,2015-02-19
93.0,Bengaluru,2015-02-20
94.8,Bengaluru,2015-02-21
102.0,Bengaluru,2015-02-22
109.0,Bengaluru,2015-02-23
110.8,Bengaluru,2015-02-24
103.8,Bengaluru,2015-02-25
97.8,Bengaluru,2015-02-26
91.2,Bengaluru,2015-02-27
92.6,Bengaluru,2015-02-28
103.2,Bengaluru,2015-03-01
100.8,Bengaluru,2015-03-02
113.6,Bengaluru,2015-03-03
106.2,Bengaluru,2015-03-04
106.6,Bengaluru,2015-03-05
100.8,Bengaluru,2015-03-06
101.0,Bengaluru,2015-03-07
118.8,Bengaluru,2015-03-08
109.8,Bengaluru,2015-03-09
102.8,Bengaluru,2015-03-10
100.6,Bengaluru,2015-03-11
100.8,Bengaluru,2015-03-12
96.6,Bengaluru,2015-03-13
101.2,Bengaluru,2015-03-14
98.0,Bengaluru,2015-03-15
90.2,Bengaluru,2015-03-16
101.8,Bengaluru,2015-03-17
100.8,Bengaluru,2015-03-18
103.6,Bengaluru,2015-03-19
127.8,Bengaluru,2015-03-20
91.0,Bengaluru,2015-03-21
120.0,Bengaluru,2015-03-22
154.0,Bengaluru,2015-03-23
119.0,Bengaluru,2015-03-24
88.0,Bengaluru,2015-03-25
132.0,Bengaluru,2015-03-26
123.0,Bengaluru,2015-03-27
152.0,Bengaluru,2015-03-28
143.0,Bengaluru,2015-03-29
80.0,Bengaluru,2015-03-30
90.0,Bengaluru,2015-03-31
151.0,Bengaluru,2015-04-01
123.0,Bengaluru,2015-04-02
178.0,Bengaluru,2015-04-03
101.0,Bengaluru,2015-04-04
160.0,Bengaluru,2015-04-05
71.0,Bengaluru,2015-04-06
76.0,Bengaluru,2015-04-07
153.0,Bengaluru,2015-04-08
80.0,Bengaluru,2015-04-09
129.0,Bengaluru,2015-04-10
107.0,Bengaluru,2015-04-11
122.0,Bengaluru,2015-04-12
85.0,Bengaluru,2015-04-13
62.0,Bengaluru,2015-04-14
177.0,Bengaluru,2015-04-15
152.0,Bengaluru,2015-04-16
88.0,Bengaluru,2015-04-17
170.0,Bengaluru,2015-04-18
135.0,Bengaluru,2015-04-19
118.0,Bengaluru,2015-04-20
127.0,Bengaluru,2015-04-21
47.0,Bengaluru,2015-04-22
44.0,Bengaluru,2015-04-23
67.0,Bengaluru,2015-04-24
44.0,Bengaluru,2015-04-25
82.0,Bengaluru,2015-04-26
156.0,Bengaluru,2015-04-27
96.0,Bengaluru,2015-04-28
72.0,Bengaluru,2015-04-29
117.0,Bengaluru,2015-04-30
67.0,Bengaluru,2015-05-01
88.0,Bengaluru,2015-05-02
64.0,Bengaluru,2015-05-03
162.0,Bengaluru,2015-05-04
75.0,Bengaluru,2015-05-05
141.0,Bengaluru,2015-05-06
70.0,Bengaluru,2015-05-07
142.0,Bengaluru,2015-05-08
140.0,Bengaluru,2015-05-09
71.0,Bengaluru,2015-05-10
66.0,Bengaluru,2015-05-11
56.0,Bengaluru,2015-05-12
45.0,Bengaluru,2015-05-13
61.0,Bengaluru,2015-05-14
70.0,Bengaluru,2015-05-15
59.0,Bengaluru,2015-05-16
125.0,Bengaluru,2015-05-17
106.0,Bengaluru,2015-05-18
84.0,Bengaluru,2015-05-19
57.0,Bengaluru,2015-05-20
56.0,Bengaluru,2015-05-21
140.0,Bengaluru,2015-05-22
156.0,Bengaluru,2015-05-23
156.0,Bengaluru,2015-05-24
111.0,Bengaluru,2015-05-25
158.0,Bengaluru,2015-05-26
93.0,Bengaluru,2015-05-27
97.0,Bengaluru,2015-05-28
94.0,Bengaluru,2015-05-29
147.0,Bengaluru,2015-05-30
100.0,Bengaluru,2015-05-31
101.0,Bengaluru,2015-06-01
84.0,Bengaluru,2015-06-02
84.0,Bengaluru,2015-06-03
74.0,Bengaluru,2015-06-04
130.0,Bengaluru,2015-06-05
74.0,Bengaluru,2015-06-06
74.0,Bengaluru,2015-06-07
162.0,Bengaluru,2015-06-08
55.0,Bengaluru,2015-06-09
72.0,Bengaluru,2015-06-10
66.0,Bengaluru,2015-06-11
81.0,Bengaluru,2015-06-12
94.0,Bengaluru,2015-06-13
128.0,Bengaluru,2015-06-14
86.0,Bengaluru,2015-06-15
136.0,Bengaluru,2015-06-16
67.0,Bengaluru,2015-06-17
45.0,Bengaluru,2015-06-18
70.0,Bengaluru,2015-06-19
93.0,Bengaluru,2015-06-20
166.0,Bengaluru,2015-06-21
88.0,Bengaluru,2015-06-22
107.0,Bengaluru,2015-06-23
140.0,Bengaluru,2015-06-24
107.0,Bengaluru,2015-06-25
70.0,Bengaluru,2015-06-26
165.0,Bengaluru,2015-06-27
160.0,Bengaluru,2015-06-28
88.0,Bengaluru,2015-06-29
166.0,Bengaluru,2015-06-30
88.0,Bengaluru,2015-07-01
162.0,Bengaluru,2015-07-02
88.0,Bengaluru,2015-07-03
141.0,Bengaluru,2015-07-04
88.0,Bengaluru,2015-07-05
88.0,Bengaluru,2015-07-06
136.0,Bengaluru,2015-07-07
139.0,Bengaluru,2015-07-08
161.0,Bengaluru,2015-07-09
160.0,Bengaluru,2015-07-10
127.0,Bengaluru,2015-07-11
71.0,Bengaluru,2015-07-12
88.0,Bengaluru,2015-07-13
88.0,Bengaluru,2015-07-14
176.0,Bengaluru,2015-07-15
176.0,Bengaluru,2015-07-16
55.0,Bengaluru,2015-07-17
156.0,Bengaluru,2015-07-18
88.0,Bengaluru,2015-07-19
88.0,Bengaluru,2015-07-20
88.0,Bengaluru,2015-07-21
88.0,Bengaluru,2015-07-22
88.0,Bengaluru,2015-07-23
88.0,Bengaluru,2015-07-24
51.0,Bengaluru,2015-07-25
49.0,Bengaluru,2015-07-26
157.0,Bengaluru,2015-07-27
128.0,Bengaluru,2015-07-28
66.0,Bengaluru,2015-07-29
105.0,Bengaluru,2015-07-30
49.0,Bengaluru,2015-07-31
97.0,Bengaluru,2015-08-01
88.0,Bengaluru,2015-08-02
139.0,Bengaluru,2015-08-03
95.0,Bengaluru,2015-08-04
106.0,Bengaluru,2015-08-05
89.0,Bengaluru,2015-08-06
44.0,Bengaluru,2015-08-07
97.0,Bengaluru,2015-08-08
88.0,Bengaluru,2015-08-09
83.0,Bengaluru,2015-08-10
129.0,Bengaluru,2015-08-11
128.0,Bengaluru,2015-08-12
88.0,Bengaluru,2015-08-13
88.0,Bengaluru,2015-08-14
176.0,Bengaluru,2015-08-15
88.0,Bengaluru,2015-08-16
88.0,Bengaluru,2015-08-17
88.0,Bengaluru,2015-08-18
88.0,Bengaluru,2015-08-19
92.0,Bengaluru,2015-08-20
100.0,Bengaluru,2015-08-21
97.0,Bengaluru,2015-08-22
59.0,Bengaluru,2015-08-23
96.0,Bengaluru,2015-08-24
123.0,Bengaluru,2015-08-25
77.0,Bengaluru,2015-08-26
57.0,Bengaluru,2015-08-27
63.0,Bengaluru,2015-08-28
174.0,Bengaluru,2015-08-29
121.0,Bengaluru,2015-08-30
92.0,Bengaluru,2015-08-31
81.0,Bengaluru,2015-09-01
43.0,Bengaluru,2015-09-02
52.0,Bengaluru,2015-09-03
72.0,Bengaluru,2015-09-04
73.0,Bengaluru,2015-09-05
88.0,Bengaluru,2015-09-06
179.0,Bengaluru,2015-09-07
93.0,Bengaluru,2015-09-08
60.0,Bengaluru,2015-09-09
65.0,Bengaluru,2015-09-10
60.0,Bengaluru,2015-09-11
167.0,Bengaluru,2015-09-12
141.0,Bengaluru,2015-09-13
175.0,Bengaluru,2015-09-14
41.0,Bengaluru,2015-09-15
81.0,Bengaluru,2015-09-16
52.0,Bengaluru,2015-09-17
31.0,Bengaluru,2015-09-18
144.0,Bengaluru,2015-09-19
64.0,Bengaluru,2015-09-20
51.0,Bengaluru,2015-09-21
82.0,Bengaluru,2015-09-22
85.0,Bengaluru,2015-09-23
89.0,Bengaluru,2015-09-24
139.0,Bengaluru,2015-09-25
157.0,Bengaluru,2015-09-26
155.0,Bengaluru,2015-09-27
94.0,Bengaluru,2015-09-28
100.0,Bengaluru,2015-09-29
117.0,Bengaluru,2015-09-30
136.0,Bengaluru,2015-10-01
96.0,Bengaluru,2015-10-02
101.0,Bengaluru,2015-10-03
128.0,Bengaluru,2015-10-04
92.0,Bengaluru,2015-10-05
98.0,Bengaluru,2015-10-06
102.0,Bengaluru,2015-10-07
69.0,Bengaluru,2015-10-08
54.0,Bengaluru,2015-10-09
101.0,Bengaluru,2015-10-10
110.0,Bengaluru,2015-10-11
54.0,Bengaluru,2015-10-12
77.0,Bengaluru,2015-10-13
144.0,Bengaluru,2015-10-14
90.0,Bengaluru,2015-10-15
98.0,Bengaluru,2015-10-16
173.0,Bengaluru,2015-10-17
140.0,Bengaluru,2015-10-18
76.0,Bengaluru,2015-10-19
164.0,Bengaluru,2015-10-20
88.0,Bengaluru,2015-10-21
97.0,Bengaluru,2015-10-22
110.0,Bengaluru,2015-10-23
89.0,Bengaluru,2015-10-24
81.0,Bengaluru,2015-10-25
74.0,Bengaluru,2015-10-26
157.0,Bengaluru,2015-10-27
95.0,Bengaluru,2015-10-28
70.0,Bengaluru,2015-10-29
110.0,Bengaluru,2015-10-30
88.0,Bengaluru,2015-10-31
49.0,Bengaluru,2015-11-01
54.0,Bengaluru,2015-11-02
58.0,Bengaluru,2015-11-03
65.0,Bengaluru,2015-11-04
70.0,Bengaluru,2015-11-05
67.0,Bengaluru,2015-11-06
60.0,Bengaluru,2015-11-07
56.0,Bengaluru,2015-11-08
59.0,Bengaluru,2015-11-09
51.0,Bengaluru,2015-11-10
49.0,Bengaluru,2015-11-11
146.0,Bengaluru,2015-11-12
61.0,Bengaluru,2015-11-13
130.0,Bengaluru,2015-11-14
99.0,Bengaluru,2015-11-15
91.0,Bengaluru,2015-11-16
116.0,Bengaluru,2015-11-17
126.0,Bengaluru,2015-11-18
103.0,Bengaluru,2015-11-19
74.0,Bengaluru,2015-11-20
66.0,Bengaluru,2015-11-21
61.0,Bengaluru,2015-11-22
75.0,Bengaluru,2015-11-23
85.0,Bengaluru,2015-11-24
141.0,Bengaluru,2015-11-25
90.0,Bengaluru,2015-11-26
126.0,Bengaluru,2015-11-27
147.0,Bengaluru,2015-11-28
87.0,Bengaluru,2015-11-29
56.0,Bengaluru,2015-11-30
88.0,Bengaluru,2015-12-01
67.0,Bengaluru,2015-12-02
74.0,Bengaluru,2015-12-03
105.0,Bengaluru,2015-12-04
103.0,Bengaluru,2015-12-05
54.0,Bengaluru,2015-12-06
65.0,Bengaluru,2015-12-07
102.0,Bengaluru,2015-12-08
94.0,Bengaluru,2015-12-09
86.0,Bengaluru,2015-12-10
89.0,Bengaluru,2015-12-11
99.0,Bengaluru,2015-12-12
92.0,Bengaluru,2015-12-13
85.0,Bengaluru,2015-12-14
83.0,Bengaluru,2015-12-15
92.0,Bengaluru,2015-12-16
95.0,Bengaluru,2015-12-17
103.0,Bengaluru,2015-12-18
105.0,Bengaluru,2015-12-19
97.0,Bengaluru,2015-12-20
102.0,Bengaluru,2015-12-21
104.0,Bengaluru,2015-12-22
96.0,Bengaluru,2015-12-23
114.0,Bengaluru,2015-12-24
110.0,Bengaluru,2015-12-25
109.0,Bengaluru,2015-12-26
115.0,Bengaluru,2015-12-27
149.0,Bengaluru,2015-12-28
122.0,Bengaluru,2015-12-29
91.0,Bengaluru,2015-12-30
131.0,Bengaluru,2015-12-31
101.0,Bengaluru,2016-01-01
92.0,Bengaluru,2016-01-02
108.0,Bengaluru,2016-01-03
109.0,Bengaluru,2016-01-04
114.0,Bengaluru,2016-01-05
121.0,Bengaluru,2016-01-06
116.0,Bengaluru,2016-01-07
117.0,Bengaluru,2016-01-08
143.0,Bengaluru,2016-01-09
168.0,Bengaluru,2016-01-10
122.0,Bengaluru,2016-01-11
122.0,Bengaluru,2016-01-12
146.0,Bengaluru,2016-01-13
152.0,Bengaluru,2016-01-14
119.0,Bengaluru,2016-01-15
130.0,Bengaluru,2016-01-16
88.0,Bengaluru,2016-01-17
88.0,Bengaluru,2016-01-18
146.0,Bengaluru,2016-01-19
170.0,Bengaluru,2016-01-20
117.0,Bengaluru,2016-01-21
113.0,Bengaluru,2016-01-22
146.0,Bengaluru,2016-01-23
102.0,Bengaluru,2016-01-24
98.0,Bengaluru,2016-01-25
104.0,Bengaluru,2016-01-26
91.0,Bengaluru,2016-01-27
118.0,Bengaluru,2016-01-28
175.0,Bengaluru,2016-01-29
149.0,Bengaluru,2016-01-30
88.0,Bengaluru,2016-01-31
88.0,Bengaluru,2016-02-01
156.0,Bengaluru,2016-02-02
153.0,Bengaluru,2016-02-03
141.0,Bengaluru,2016-02-04
139.0,Bengaluru,2016-02-05
154.0,Bengaluru,2016-02-06
88.0,Bengaluru,2016-02-07
88.0,Bengaluru,2016-02-08
175.0,Bengaluru,2016-02-09
88.0,Bengaluru,2016-02-10
88.0,Bengaluru,2016-02-11
154.0,Bengaluru,2016-02-12
160.0,Bengaluru,2016-02-13
136.0,Bengaluru,2016-02-14
107.0,Bengaluru,2016-02-15
88.0,Bengaluru,2016-02-16
105.0,Bengaluru,2016-02-17
111.0,Bengaluru,2016-02-18
117.0,Bengaluru,2016-02-19
113.0,Bengaluru,2016-02-20
115.0,Bengaluru,2016-02-21
145.0,Bengaluru,2016-02-22
177.0,Bengaluru,2016-02-23
88.0,Bengaluru,2016-02-24
165.0,Bengaluru,2016-02-25
124.0,Bengaluru,2016-02-26
88.0,Bengaluru,2016-02-27
88.0,Bengaluru,2016-02-28
105.0,Bengaluru,2016-02-29
118.0,Bengaluru,2016-03-01
132.0,Bengaluru,2016-03-02
121.0,Bengaluru,2016-03-03
136.0,Bengaluru,2016-03-04
153.0,Bengaluru,2016-03-05
135.0,Bengaluru,2016-03-06
111.0,Bengaluru,2016-03-07
135.0,Bengaluru,2016-03-08
123.0,Bengaluru,2016-03-09
146.0,Bengaluru,2016-03-10
155.0,Bengaluru,2016-03-11
144.0,Bengaluru,2016-03-12
149.0,Bengaluru,2016-03-13
158.0,Bengaluru,2016-03-14
175.0,Bengaluru,2016-03-15
139.0,Bengaluru,2016-03-16
145.0,Bengaluru,2016-03-17
151.0,Bengaluru,2016-03-18
158.0,Bengaluru,2016-03-19
88.0,Bengaluru,2016-03-20
88.0,Bengaluru,2016-03-21
155.0,Bengaluru,2016-03-22
137.0,Bengaluru,2016-03-23
119.0,Bengaluru,2016-03-24
137.0,Bengaluru,2016-03-25
149.0,Bengaluru,2016-03-26
156.0,Bengaluru,2016-03-27
123.0,Bengaluru,2016-03-28
118.0,Bengaluru,2016-03-29
107.0,Bengaluru,2016-03-30
111.0,Bengaluru,2016-03-31
106.0,Bengaluru,2016-04-01
112.0,Bengaluru,2016-04-02
110.0,Bengaluru,2016-04-03
114.0,Bengaluru,2016-04-04
118.0,Bengaluru,2016-04-05
154.0,Bengaluru,2016-04-06
179.0,Bengaluru,2016-04-07
102.0,Bengaluru,2016-04-08
170.0,Bengaluru,2016-04-09
112.0,Bengaluru,2016-04-10
138.0,Bengaluru,2016-04-11
121.0,Bengaluru,2016-04-12
118.0,Bengaluru,2016-04-13
171.0,Bengaluru,2016-04-14
156.0,Bengaluru,2016-04-15
140.0,Bengaluru,2016-04-16
114.0,Bengaluru,2016-04-17
138.0,Bengaluru,2016-04-18
137.0,Bengaluru,2016-04-19
134.0,Bengaluru,2016-04-20
119.0,Bengaluru,2016-04-21
98.0,Bengaluru,2016-04-22
107.0,Bengaluru,2016-04-23
150.0,Bengaluru,2016-04-24
94.0,Bengaluru,2016-04-25
85.0,Bengaluru,2016-04-26
115.0,Bengaluru,2016-04-27
74.0,Bengaluru,2016-04-28
88.0,Bengaluru,2016-04-29
86.0,Bengaluru,2016-04-30
87.0,Bengaluru,2016-05-01
99.0,Bengaluru,2016-05-02
80.0,Bengaluru,2016-05-03
102.0,Bengaluru,2016-05-04
76.0,Bengaluru,2016-05-05
59.0,Bengaluru,2016-05-06
67.0,Bengaluru,2016-05-07
107.0,Bengaluru,2016-05-08
95.0,Bengaluru,2016-05-09
72.0,Bengaluru,2016-05-10
91.0,Bengaluru,2016-05-11
88.0,Bengaluru,2016-05-12
86.0,Bengaluru,2016-05-13
78.0,Bengaluru,2016-05-14
65.0,Bengaluru,2016-05-15
50.0,Bengaluru,2016-05-16
74.0,Bengaluru,2016-05-17
47.0,Bengaluru,2016-05-18
46.0,Bengaluru,2016-05-19
48.0,Bengaluru,2016-05-20
35.0,Bengaluru,2016-05-21
83.0,Bengaluru,2016-05-22
173.0,Bengaluru,2016-05-23
50.0,Bengaluru,2016-05-24
37.0,Bengaluru,2016-05-25
33.0,Bengaluru,2016-05-26
38.0,Bengaluru,2016-05-27
38.0,Bengaluru,2016-05-28
27.0,Bengaluru,2016-05-29
26.0,Bengaluru,2016-05-30
47.0,Bengaluru,2016-05-31
49.0,Bengaluru,2016-06-01
43.0,Bengaluru,2016-06-02
29.0,Bengaluru,2016-06-03
30.0,Bengaluru,2016-06-04
33.0,Bengaluru,2016-06-05
26.0,Bengaluru,2016-06-06
23.0,Bengaluru,2016-06-07
20.0,Bengaluru,2016-06-08
57.2,Bengaluru,2016-06-09
20.0,Bengaluru,2016-06-10
20.0,Bengaluru,2016-06-11
23.0,Bengaluru,2016-06-12
26.0,Bengaluru,2016-06-13
23.0,Bengaluru,2016-06-14
26.0,Bengaluru,2016-06-15
40.0,Bengaluru,2016-06-16
28.0,Bengaluru,2016-06-17
156.0,Bengaluru,2016-06-18
88.0,Bengaluru,2016-06-19
137.0,Bengaluru,2016-06-20
71.0,Bengaluru,2016-06-21
77.0,Bengaluru,2016-06-22
143.0,Bengaluru,2016-06-23
88.0,Bengaluru,2016-06-24
31.0,Bengaluru,2016-06-25
86.4,Bengaluru,2016-06-26
33.0,Bengaluru,2016-06-27
151.0,Bengaluru,2016-06-28
174.0,Bengaluru,2016-06-29
154.0,Bengaluru,2016-06-30
88.0,Bengaluru,2016-07-01
88.0,Bengaluru,2016-07-02
88.0,Bengaluru,2016-07-03
160.0,Bengaluru,2016-07-04
83.0,Bengaluru,2016-07-05
56.0,Bengaluru,2016-07-06
141.0,Bengaluru,2016-07-07
43.0,Bengaluru,2016-07-08
65.0,Bengaluru,2016-07-09
30.0,Bengaluru,2016-07-10
40.0,Bengaluru,2016-07-11
54.0,Bengaluru,2016-07-12
41.0,Bengaluru,2016-07-13
